flights before delete
Flight{id=76, flightNumber='PG0405', scheduledDeparture=2017-09-09 09:35:00.0, scheduledArrival=2017-09-09 10:30:00.0, departureAirport='DME', arrivalAirport='LED', status='Scheduled', aircraftCode='321', actualDeparture=null, actualArrival=null}
Flight{id=30, flightNumber='PG0402', scheduledDeparture=2017-08-12 12:25:00.0, scheduledArrival=2017-08-12 13:20:00.0, departureAirport='DME', arrivalAirport='LED', status='Arrived', aircraftCode='321', actualDeparture=2017-08-12 12:28:00.0, actualArrival=2017-08-12 13:23:00.0}
Flight{id=38, flightNumber='PG0405', scheduledDeparture=2017-07-28 09:35:00.0, scheduledArrival=2017-07-28 10:30:00.0, departureAirport='DME', arrivalAirport='LED', status='Arrived', aircraftCode='321', actualDeparture=2017-07-28 09:36:00.0, actualArrival=2017-07-28 10:30:00.0}
Flight{id=16, flightNumber='PG0403', scheduledDeparture=2017-08-06 11:25:00.0, scheduledArrival=2017-08-06 12:20:00.0, departureAirport='DME', arrivalAirport='LED', status='Arrived', aircraftCode='321', actualDeparture=2017-08-06 11:27:00.0, actualArrival=2017-08-06 12:22:00.0}
Flight{id=13, flightNumber='PG0405', scheduledDeparture=2017-08-23 09:35:00.0, scheduledArrival=2017-08-23 10:30:00.0, departureAirport='DME', arrivalAirport='LED', status='Scheduled', aircraftCode='321', actualDeparture=null, actualArrival=null}
Flight{id=42, flightNumber='PG0404', scheduledDeparture=2017-09-13 19:05:00.0, scheduledArrival=2017-09-13 20:00:00.0, departureAirport='DME', arrivalAirport='LED', status='Scheduled', aircraftCode='321', actualDeparture=null, actualArrival=null}
Flight{id=96, flightNumber='PG0402', scheduledDeparture=2017-08-14 12:25:00.0, scheduledArrival=2017-08-14 13:20:00.0, departureAirport='DME', arrivalAirport='LED', status='Arrived', aircraftCode='321', actualDeparture=2017-08-14 12:30:00.0, actualArrival=2017-08-14 13:25:00.0}
Flight{id=49, flightNumber='PG0402', scheduledDeparture=2017-08-15 12:25:00.0, scheduledArrival=2017-08-15 13:20:00.0, departureAirport='DME', arrivalAirport='LED', status='Arrived', aircraftCode='321', actualDeparture=2017-08-15 12:28:00.0, actualArrival=2017-08-15 13:24:00.0}
Flight{id=81, flightNumber='PG0405', scheduledDeparture=2017-09-14 09:35:00.0, scheduledArrival=2017-09-14 10:30:00.0, departureAirport='DME', arrivalAirport='LED', status='Scheduled', aircraftCode='321', actualDeparture=null, actualArrival=null}
Flight{id=17, flightNumber='PG0404', scheduledDeparture=2017-08-06 19:05:00.0, scheduledArrival=2017-08-06 20:00:00.0, departureAirport='DME', arrivalAirport='LED', status='Arrived', aircraftCode='321', actualDeparture=2017-08-06 19:05:00.0, actualArrival=2017-08-06 20:00:00.0}
Flight{id=57, flightNumber='PG0402', scheduledDeparture=2017-07-18 12:25:00.0, scheduledArrival=2017-07-18 13:20:00.0, departureAirport='DME', arrivalAirport='LED', status='Arrived', aircraftCode='321', actualDeparture=2017-07-18 12:29:00.0, actualArrival=2017-07-18 13:24:00.0}
Flight{id=41, flightNumber='PG0403', scheduledDeparture=2017-09-13 11:25:00.0, scheduledArrival=2017-09-13 12:20:00.0, departureAirport='DME', arrivalAirport='LED', status='Scheduled', aircraftCode='321', actualDeparture=null, actualArrival=null}
Flight{id=86, flightNumber='PG0405', scheduledDeparture=2017-08-10 09:35:00.0, scheduledArrival=2017-08-10 10:30:00.0, departureAirport='DME', arrivalAirport='LED', status='Arrived', aircraftCode='321', actualDeparture=2017-08-10 09:37:00.0, actualArrival=2017-08-10 10:33:00.0}
Flight{id=84, flightNumber='PG0403', scheduledDeparture=2017-08-10 11:25:00.0, scheduledArrival=2017-08-10 12:20:00.0, departureAirport='DME', arrivalAirport='LED', status='Arrived', aircraftCode='321', actualDeparture=2017-08-10 11:28:00.0, actualArrival=2017-08-10 12:23:00.0}
Flight{id=37, flightNumber='PG0405', scheduledDeparture=2017-08-07 09:35:00.0, scheduledArrival=2017-08-07 10:30:00.0, departureAirport='DME', arrivalAirport='LED', status='Arrived', aircraftCode='321', actualDeparture=2017-08-07 09:38:00.0, actualArrival=2017-08-07 10:34:00.0}
Flight{id=69, flightNumber='PG0402', scheduledDeparture=2017-09-02 12:25:00.0, scheduledArrival=2017-09-02 13:20:00.0, departureAirport='DME', arrivalAirport='LED', status='Scheduled', aircraftCode='321', actualDeparture=null, actualArrival=null}
